t,log_t,vth_average
13.622867640417534,2.611749824919176,1.460793164366902
14.465073384217598,2.6717370117106043,1.4617105516757973
15.35934676411018,2.7317241985020324,1.4626045881129208
16.308906754494608,2.7917113852934605,1.4634876850266398
17.3171713362349,2.8516985720848886,1.4643722537653228
18.38776979982472,2.9116857588763168,1.4652707056773364
19.52455580917015,2.971672945667745,1.4661954521110487
20.73162127301394,3.031660132459173,1.4671589044148263
22.013311073932048,3.091647319250601,1.468193113669537
23.374238707919996,3.151634506042029,1.4693262491565684
24.81930289086451,3.2116216928334573,1.4705287301360759
26.353705191676028,3.2716088796248854,1.4717696039919168
27.98296875555338,3.3315960664163136,1.4730179181079484
29.712958184775694,3.3915832532077417,1.474242719868028
31.549900648583375,3.45157043999917,1.4754130566560122
33.500408298134,3.511557626790598,1.4764979758557586
35.57150206721669,3.571544813582026,1.477466524851124
37.77063694439668,3.631532000373454,1.478287751025966
40.105728807558165,3.6915191871648823,1.4789307017641415
42.58518291743754,3.7515063739563104,1.479369855148914
45.21792417271062,3.8114935607477385,1.4797018305308092
48.01342923553836,3.8714807475391666,1.4799806414343626
50.981760643208325,3.9314679343305947,1.480216970137995
54.13360302865813,3.991455121122023,1.4804214989201285
57.48030158025835,4.0514423079134545,1.480604910059184
61.03390287929133,4.111429494704883,1.4807778858335827
64.80719826212513,4.171416681496311,1.4809511085217466
68.81376986316243,4.231403868287739,1.4811352604020966
73.06803950430114,4.291391055079167,1.4813410237530547
77.58532060688486,4.351378241870595,1.4815790808530414
82.38187331300298,4.411365428662023,1.4818601139804788
87.47496301455153,4.471352615453451,1.482199773504913
92.8829225007328,4.531339802244879,1.4826122791636869
98.62521794769611,4.5913269890363075,1.4830868272299746
104.72251898785231,4.651314175827736,1.483611342068314
111.19677311107928,4.711301362619164,1.4841737480432418
118.07128466562897,4.771288549410592,1.4847619695192964
125.37079874310263,4.83127573620202,1.4853639308610145
133.12159024944205,4.891262922993448,1.485967556432934
141.35155848255152,4.951250109784876,1.4865607705995922
150.09032755698632,5.011237296576304,1.4871314977255266
159.36935303719102,5.0712244833677325,1.487667662175275
169.22203516311808,5.131211670159161,1.4881578927543255
179.68383907578732,5.191198856950589,1.488634291654024
190.7924224755428,5.251186043742017,1.4891160607703557
202.58777117251896,5.311173230533445,1.4895981417114945
215.112343017235,5.371160417324873,1.4900754760856156
228.4112207294019,5.431147604116301,1.4905430055008928
242.53227417505602,5.491134790907729,1.4909956715655015
257.5263326761421,5.551121977699157,1.4914284158876154
273.4473679727815,5.6111091644905855,1.4918361800754103
290.35268849680625,5.671096351282014,1.49221390573706
308.30314565585513,5.731083538073445,1.4925565344807394
327.3633528705538,5.791070724864873,1.4928590079146227
347.6019181532289,5.8510579116563015,1.4931258094540536
369.0916910653108,5.91104509844773,1.4933926799347788
391.9100249423755,5.971032285239158,1.4936590121781255
416.13905533070806,6.031019472030586,1.4939195284403348
441.8659956376337,6.091006658822014,1.494168950977649
469.18345105982183,6.150993845613442,1.4944020020463107
498.1897519195609,6.21098103240487,1.4946134039025614
528.9893076088626,6.270968219196298,1.494797878802643
561.6929824154313,6.330955405987726,1.494950149002798
596.4184945832999,6.3909425927791546,1.495064936759268
633.2908400445685,6.450929779570583,1.4951369643282955
672.4427423474854,6.510916966362011,1.4951605821321678
714.0151304004044,6.570904153153439,1.4948190120518319
758.1576457512796,6.630891339944867,1.4939852809785203
805.0291812286707,6.690878526736295,1.492874222796346
854.7984528831183,6.750865713527723,1.4917006713894214
907.644607287618,6.810852900319151,1.490679460641858
963.7578663831961,6.8708400871105795,1.4900254244377695
1023.3402121907346,6.930827273902008,1.4899996296115803
1086.6061138536957,6.990814460693436,1.4909902776961834
1153.7832996287657,7.050801647484864,1.4924887166150542
1225.1135766032298,7.110788834276292,1.4938112243514163
1300.8537010896894,7.17077602106772,1.4944646539967388
1381.2763028311354,7.230763207859148,1.4949645187923144
1466.6708663431018,7.290750394650576,1.4953491039154394
1557.3447729252762,7.350737581442004,1.4955460841691244
